Filename                                 Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
tui/input/mod.rs                            1354                 0   100.00%          97                 0   100.00%         953                 0   100.00%           0                 0         -
tui/input/mouse.rs                          3836                 0   100.00%         120                 0   100.00%        2265                 0   100.00%         158                 0   100.00%
tui/input/normal.rs                          205                 0   100.00%           9                 0   100.00%          99                 0   100.00%           6                 0   100.00%
tui/input/picker.rs                          581                 0   100.00%          41                 0   100.00%         270                 0   100.00%           0                 0         -
tui/input/text_input.rs                      575                 0   100.00%          31                 0   100.00%         251                 0   100.00%           2                 0   100.00%
tui/mod.rs                                  5012                 0   100.00%         293                 0   100.00%        2789                 0   100.00%         154                 0   100.00%
tui/render/main_layout.rs                   3192                 0   100.00%         111                 0   100.00%        1707                 0   100.00%         194                 0   100.00%
tui/render/mod.rs                           2891                 0   100.00%         136                 0   100.00%        1655                 0   100.00%          28                 0   100.00%
tui/render/modals/branch.rs                  249                 0   100.00%           1                 0   100.00%         151                 0   100.00%          34                 0   100.00%
tui/render/modals/changelog.rs               724                 0   100.00%          35                 0   100.00%         410                 0   100.00%          72                 0   100.00%
tui/render/modals/command_palette.rs         144                 0   100.00%           1                 0   100.00%          63                 0   100.00%           8                 0   100.00%
tui/render/modals/confirm.rs                 801                 0   100.00%          22                 0   100.00%         449                 0   100.00%           8                 0   100.00%
tui/render/modals/error.rs                   314                 0   100.00%          14                 0   100.00%         162                 0   100.00%          12                 0   100.00%
tui/render/modals/help.rs                    392                 0   100.00%          17                 0   100.00%         220                 0   100.00%          18                 0   100.00%
tui/render/modals/input.rs                   390                 0   100.00%          11                 0   100.00%         219                 0   100.00%          24                 0   100.00%
tui/render/modals/mod.rs                     765                 0   100.00%          22                 0   100.00%         396                 0   100.00%          18                 0   100.00%
tui/render/modals/models.rs                  129                 0   100.00%           1                 0   100.00%          58                 0   100.00%           8                 0   100.00%
tui/render/modals/picker.rs                  187                 0   100.00%           3                 0   100.00%          98                 0   100.00%           2                 0   100.00%
tui/render/modals/progress.rs                135                 0   100.00%           5                 0   100.00%          71                 0   100.00%           6                 0   100.00%
tui/render/modals/settings_menu.rs           120                 0   100.00%           3                 0   100.00%          54                 0   100.00%           4                 0   100.00%
update.rs                                    580                 0   100.00%          41                 0   100.00%         353                 0   100.00%          10                 0   100.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                      62007                 0   100.00%        3298                 0   100.00%       35932                 0   100.00%        1812                 0   100.00%
