Filename                                 Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
mux/server/capture.rs                        208                14    93.27%          14                 0   100.00%         118                 2    98.31%           0                 0         -
mux/server/session.rs                        929               101    89.13%          51                 4    92.16%         591                42    92.89%           0                 0         -
mux/session.rs                               446                86    80.72%          35                 1    97.14%         283                24    91.52%           0                 0         -
paths.rs                                     104                 0   100.00%          22                 0   100.00%          75                 0   100.00%           0                 0         -
prompts.rs                                    70                 0   100.00%           7                 0   100.00%          39                 0   100.00%           0                 0         -
release_notes.rs                             287                33    88.50%          21                 2    90.48%         156                11    92.95%           0                 0         -
runtime/docker.rs                           2153               515    76.08%         127                32    74.80%        1346               257    80.91%           0                 0         -
runtime/mod.rs                               211                27    87.20%          23                 2    91.30%         142                13    90.85%           0                 0         -
state/mod.rs                                 108                 0   100.00%          36                 0   100.00%         108                 0   100.00%           0                 0         -
test_support.rs                               11                 0   100.00%           3                 0   100.00%           9                 0   100.00%           0                 0         -
tui/input/command.rs                         295                36    87.80%          16                 0   100.00%         129                 0   100.00%           0                 0         -
tui/input/confirm.rs                         879                95    89.19%          50                 0   100.00%         467                 5    98.93%           0                 0         -
tui/input/mod.rs                            1005               147    85.37%          46                 1    97.83%         646                64    90.09%           0                 0         -
tui/input/mouse.rs                          2552               190    92.55%          81                 8    90.12%        1552                81    94.78%           0                 0         -
tui/input/normal.rs                           46                 3    93.48%           1                 0   100.00%          26                 1    96.15%           0                 0         -
tui/input/picker.rs                          645                68    89.46%          41                 0   100.00%         312                 0   100.00%           0                 0         -
tui/input/text_input.rs                      530                66    87.55%          12                 0   100.00%         216                 1    99.54%           0                 0         -
tui/mod.rs                                  3182               594    81.33%         145                14    90.34%        1694               289    82.94%           0                 0         -
tui/render/main_layout.rs                   2370               104    95.61%          76                 1    98.68%        1255                39    96.89%           0                 0         -
tui/render/mod.rs                           3077               245    92.04%         171                 4    97.66%        1772               126    92.89%           0                 0         -
